panel_celltype,group,pathway,pathway_readable,setSize,NES,pvalue,p.adjust,qvalues,rank,leading_edge,neglog10_fdr
EC,OA,E2f_targets,E2f Targets,158,1.37571215,0.037586549,0.15351217,0.116346066,2696,"tags=41%, list=27%, signal=30%",0.8138571892139278
EC,OA,Tnfa_signaling_via_nfkb,Tnfa Signaling Via Nfkb,120,1.400216395,0.031512666,0.15351217,0.116346066,1434,"tags=31%, list=15%, signal=27%",0.8138571892139278
EC,iNOA_B,Spermatogenesis,Spermatogenesis,87,-2.487250462,1.00E-10,5.00E-09,4.42E-09,696,"tags=31%, list=8%, signal=29%",8.301029995663981
EC,iNOA_B,Epithelial_mesenchymal_transition,Epithelial Mesenchymal Transition,91,1.972362664,1.32E-05,0.000330868,0.000292557,1131,"tags=38%, list=13%, signal=34%",3.480345233733003
EC,iNOA_B,Mitotic_spindle,Mitotic Spindle,149,1.570028386,0.000872255,0.014537589,0.012854289,1763,"tags=35%, list=20%, signal=28%",1.837507613478245
EC,iNOA_B,Allograft_rejection,Allograft Rejection,69,-1.640822657,0.006057654,0.075720669,0.066953013,1232,"tags=28%, list=14%, signal=24%",1.1207855576542933
EC,iNOA_B,Fatty_acid_metabolism,Fatty Acid Metabolism,99,-1.570065403,0.012347148,0.123471482,0.109174784,1743,"tags=38%, list=20%, signal=31%",0.9084333390862617
EC,iNOA_B,Mtorc1_signaling,Mtorc1 Signaling,144,-1.495429586,0.017534776,0.146123137,0.129203616,2193,"tags=43%, list=25%, signal=33%",0.8352810128414124
EC,iNOA_B,Reactive_oxygen_species_pathway,Reactive Oxygen Species Pathway,36,-1.607541115,0.023894842,0.170677444,0.150914793,1699,"tags=42%, list=20%, signal=34%",0.7678238695917716
EC,iNOA_B,Tnfa_signaling_via_nfkb,Tnfa Signaling Via Nfkb,105,1.314657576,0.029819383,0.186371142,0.164791326,1507,"tags=33%, list=17%, signal=28%",0.7296213336151561
EC,iNOA_B,Tgf_beta_signaling,Tgf Beta Signaling,39,-1.432167098,0.068775791,0.382087727,0.33784599,766,"tags=28%, list=9%, signal=26%",0.4178369120152792
EC,iNOA_B,Coagulation,Coagulation,54,-1.382546757,0.076612903,0.383064516,0.338709677,760,"tags=26%, list=9%, signal=24%",0.41672807568365716
EC,iNOA_S,Epithelial_mesenchymal_transition,Epithelial Mesenchymal Transition,116,2.388008288,1.13E-10,2.84E-09,1.67E-09,582,"tags=36%, list=6%, signal=34%",8.546681659952963
EC,iNOA_S,Spermatogenesis,Spermatogenesis,87,-2.517417852,1.00E-10,2.84E-09,1.67E-09,1241,"tags=56%, list=13%, signal=49%",8.546681659952963
EC,iNOA_S,Interferon_alpha_response,Interferon Alpha Response,78,2.19622824,7.68E-07,1.28E-05,7.55E-06,1365,"tags=45%, list=15%, signal=39%",4.892790030352131
EC,iNOA_S,Myogenesis,Myogenesis,98,2.039919896,2.15E-05,0.000268364,0.000158193,813,"tags=32%, list=9%, signal=29%",3.5712757435327123
EC,iNOA_S,Apoptosis,Apoptosis,117,1.821993753,5.59E-05,0.000489573,0.00028859,955,"tags=25%, list=10%, signal=23%",3.3101825415862476
EC,iNOA_S,Hypoxia,Hypoxia,121,1.789907811,5.87E-05,0.000489573,0.00028859,903,"tags=26%, list=10%, signal=24%",3.3101825415862476
EC,iNOA_S,Interferon_gamma_response,Interferon Gamma Response,141,1.785853692,8.69E-05,0.000620885,0.000365995,1164,"tags=31%, list=12%, signal=28%",3.206988832175146
EC,iNOA_S,Uv_response_dn,Uv Response Dn,104,1.872950597,0.000204707,0.001279418,0.000754183,1541,"tags=44%, list=16%, signal=37%",2.8929875435311625
EC,iNOA_S,Bile_acid_metabolism,Bile Acid Metabolism,49,1.934422512,0.000232113,0.001289519,0.000760137,1123,"tags=31%, list=12%, signal=27%",2.889572254507536
EC,iNOA_S,Fatty_acid_metabolism,Fatty Acid Metabolism,106,1.782528626,0.000331936,0.001659678,0.000978336,1616,"tags=32%, list=17%, signal=27%",2.7799761627960873
Immune,AZFc_Del,HALLMARK_MYOGENESIS,Myogenesis,195,1.849760107,7.26E-07,3.63E-05,3.06E-05,2287,"tags=26%, list=7%, signal=24%",4.440093374963888
Immune,AZFc_Del,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,197,1.670824944,0.000144874,0.003352744,0.002823363,2287,"tags=32%, list=7%, signal=30%",2.4745996060199813
Immune,AZFc_Del,HALLMARK_KRAS_SIGNALING_DN,Kras Signaling Dn,166,1.665629507,0.000201165,0.003352744,0.002823363,4145,"tags=19%, list=13%, signal=17%",2.4745996060199813
Immune,AZFc_Del,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling Via Nfkb,198,1.587570116,0.001002964,0.012537053,0.010557518,1968,"tags=33%, list=6%, signal=31%",1.9018045381664725
Immune,AZFc_Del,HALLMARK_SPERMATOGENESIS,Spermatogenesis,131,-1.608241238,0.001319381,0.013193808,0.011110575,3466,"tags=31%, list=11%, signal=27%",1.8796298401848703
Immune,AZFc_Del,HALLMARK_UV_RESPONSE_DN,Uv Response Dn,140,1.578653575,0.002483702,0.02069752,0.017429491,3335,"tags=44%, list=11%, signal=39%",1.6840816890763783
Immune,AZFc_Del,HALLMARK_COAGULATION,Coagulation,126,1.554357403,0.00431506,0.030821854,0.025955246,1530,"tags=26%, list=5%, signal=25%",1.5111412410961116
Immune,AZFc_Del,HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,195,1.395340343,0.017094885,0.106843031,0.089973079,4055,"tags=38%, list=13%, signal=33%",0.9712538000974736
Immune,AZFc_Del,HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,187,1.346423141,0.029717118,0.165095101,0.139027454,3694,"tags=28%, list=12%, signal=25%",0.782265813716211
Immune,AZFc_Del,HALLMARK_HYPOXIA,Hypoxia,197,1.320841397,0.042521994,0.212609971,0.179039975,3356,"tags=33%, list=11%, signal=30%",0.6724163717565842
Immune,KS,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling Via Nfkb,198,2.127280643,1.00E-10,5.00E-09,3.58E-09,1448,"tags=48%, list=5%, signal=46%",8.301029995663981
Immune,KS,HALLMARK_SPERMATOGENESIS,Spermatogenesis,131,-1.747435469,1.16E-05,0.000288806,0.000206724,4658,"tags=46%, list=15%, signal=39%",3.53939378845758
Immune,KS,HALLMARK_PROTEIN_SECRETION,Protein Secretion,93,-1.753226715,5.69E-05,0.000949136,0.000679382,2954,"tags=57%, list=10%, signal=52%",3.022671553834303
Immune,KS,HALLMARK_HYPOXIA,Hypoxia,197,1.634948504,0.000277932,0.002779321,0.001989409,2699,"tags=34%, list=9%, signal=31%",2.5560612911219343
Immune,KS,HALLMARK_MYOGENESIS,Myogenesis,195,1.616592109,0.000226134,0.002779321,0.001989409,3298,"tags=31%, list=11%, signal=28%",2.5560612911219343
Immune,KS,HALLMARK_UV_RESPONSE_UP,Uv Response Up,152,1.629996903,0.000647623,0.005396855,0.003863012,1705,"tags=26%, list=6%, signal=25%",2.2678592501848933
Immune,KS,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,182,1.592395908,0.00077727,0.005551931,0.003974014,1352,"tags=31%, list=4%, signal=30%",2.255555939978537
Immune,KS,HALLMARK_P53_PATHWAY,P53 Pathway,191,1.472803007,0.002702898,0.01689311,0.012091911,1563,"tags=22%, list=5%, signal=21%",1.7722903900083826
Immune,KS,HALLMARK_ANGIOGENESIS,Angiogenesis,34,-1.559013985,0.004393465,0.023864288,0.017081806,3011,"tags=35%, list=10%, signal=32%",1.6222515184435107
Immune,KS,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,197,1.478588608,0.004772858,0.023864288,0.017081806,2208,"tags=38%, list=7%, signal=36%",1.6222515184435107
Immune,OA,HALLMARK_G2M_CHECKPOINT,G2m Checkpoint,193,1.571902313,0.000131499,0.00657494,0.006228891,3446,"tags=46%, list=11%, signal=41%",2.1821082059998487
Immune,OA,HALLMARK_E2F_TARGETS,E2f Targets,198,1.475948344,0.00040123,0.010030759,0.009502824,3903,"tags=48%, list=13%, signal=42%",1.998666203864889
Immune,OA,HALLMARK_KRAS_SIGNALING_DN,Kras Signaling Dn,166,1.42594344,0.008903523,0.148392048,0.14058194,2260,"tags=9%, list=7%, signal=8%",0.8285893713093596
Immune,OA,HALLMARK_IL6_JAK_STAT3_SIGNALING,Il6 Jak Stat3 Signaling,84,-1.402899048,0.014280832,0.178510398,0.169115114,1745,"tags=37%, list=6%, signal=35%",0.7483364817226525
Immune,OA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling Via Nfkb,198,1.243336845,0.025150934,0.251509339,0.238272005,1972,"tags=26%, list=6%, signal=24%",0.5994458841632644
Immune,OA,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,182,-1.237942794,0.058601134,0.488342785,0.462640533,3151,"tags=29%, list=10%, signal=26%",0.3112752243634158
Immune,OA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,190,-1.21142177,0.069811321,0.498652291,0.472407434,3844,"tags=46%, list=12%, signal=41%",0.302202181303586
Immune,OA,HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,198,1.181951009,0.097613883,0.610086768,0.577976938,3446,"tags=36%, list=11%, signal=32%",0.2146083941961097
Immune,OA,HALLMARK_ANGIOGENESIS,Angiogenesis,34,-1.24450719,0.140035907,0.638332256,0.604735821,732,"tags=21%, list=2%, signal=20%",0.19495320938679636
Immune,OA,HALLMARK_HEME_METABOLISM,Heme Metabolism,185,1.164733819,0.117521368,0.638332256,0.604735821,2758,"tags=24%, list=9%, signal=22%",0.19495320938679636
Immune,iNOA_B,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling Via Nfkb,198,1.81523716,1.96E-07,9.81E-06,5.58E-06,2651,"tags=42%, list=9%, signal=39%",5.008330992620052
Immune,iNOA_B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,190,-1.772508855,7.49E-06,0.000187158,0.000106385,2668,"tags=47%, list=9%, signal=43%",3.727791604394608
Immune,iNOA_B,HALLMARK_G2M_CHECKPOINT,G2m Checkpoint,193,1.664575669,1.78E-05,0.000297483,0.000169095,3622,"tags=42%, list=12%, signal=38%",3.5265378474720483
Immune,iNOA_B,HALLMARK_KRAS_SIGNALING_DN,Kras Signaling Dn,166,1.602408955,0.000131275,0.001312753,0.000746196,4689,"tags=21%, list=15%, signal=18%",2.8818169805579825
Immune,iNOA_B,HALLMARK_SPERMATOGENESIS,Spermatogenesis,131,-1.711751011,0.000113608,0.001312753,0.000746196,3478,"tags=31%, list=11%, signal=28%",2.8818169805579825
Immune,iNOA_B,HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,198,1.574192636,0.000279154,0.002326286,0.00132231,4924,"tags=52%, list=16%, signal=44%",2.6333368929668732
Immune,iNOA_B,HALLMARK_ADIPOGENESIS,Adipogenesis,195,-1.588509666,0.000423321,0.003023721,0.001718747,2674,"tags=37%, list=9%, signal=34%",2.5194582838554864
Immune,iNOA_B,HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,150,-1.609406239,0.000796938,0.004980865,0.002831228,3316,"tags=39%, list=11%, signal=35%",2.3026952291067238
Immune,iNOA_B,HALLMARK_E2F_TARGETS,E2f Targets,198,1.443457539,0.002929829,0.013798151,0.00784316,4197,"tags=43%, list=14%, signal=37%",1.8601791066638163
Immune,iNOA_B,HALLMARK_MTORC1_SIGNALING,Mtorc1 Signaling,197,-1.483628236,0.00271301,0.013798151,0.00784316,3782,"tags=47%, list=12%, signal=41%",1.8601791066638163
Immune,iNOA_S,HALLMARK_MYC_TARGETS_V1,Myc Targets V1,182,-1.696306929,8.98E-07,2.24E-05,1.75E-05,3045,"tags=58%, list=10%, signal=52%",4.649751981665837
Immune,iNOA_S,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,190,-1.66876851,5.36E-07,2.24E-05,1.75E-05,3249,"tags=57%, list=11%, signal=52%",4.649751981665837
Immune,iNOA_S,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling Via Nfkb,198,1.864908581,4.06E-06,6.76E-05,5.26E-05,1006,"tags=39%, list=3%, signal=38%",4.170053304058364
Immune,iNOA_S,HALLMARK_SPERMATOGENESIS,Spermatogenesis,131,-1.694833539,6.40E-06,8.00E-05,6.23E-05,3335,"tags=40%, list=11%, signal=36%",4.096910013008056
Immune,iNOA_S,HALLMARK_ADIPOGENESIS,Adipogenesis,195,-1.362868567,0.013381552,0.08556351,0.066649471,3716,"tags=44%, list=12%, signal=39%",1.0677114080373433
Immune,iNOA_S,HALLMARK_APICAL_JUNCTION,Apical Junction,192,-1.405707505,0.011911969,0.08556351,0.066649471,2886,"tags=24%, list=9%, signal=22%",1.0677114080373433
Immune,iNOA_S,HALLMARK_MTORC1_SIGNALING,Mtorc1 Signaling,197,-1.377809914,0.012038351,0.08556351,0.066649471,3534,"tags=48%, list=11%, signal=43%",1.0677114080373433
Immune,iNOA_S,HALLMARK_PROTEIN_SECRETION,Protein Secretion,93,-1.479424113,0.013690162,0.08556351,0.066649471,4116,"tags=52%, list=13%, signal=45%",1.0677114080373433
Immune,iNOA_S,HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,198,-1.343154099,0.01789452,0.089472602,0.069694448,3656,"tags=38%, list=12%, signal=34%",1.0483099325258154
Immune,iNOA_S,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Pi3k Akt Mtor Signaling,100,-1.415821942,0.01731645,0.089472602,0.069694448,3457,"tags=34%, list=11%, signal=30%",1.0483099325258154
LC,AZFc_Del,HALLMARK_SPERMATOGENESIS,Spermatogenesis,76,-2.498854209,3.28E-08,1.64E-06,1.38E-06,1367,"tags=46%, list=16%, signal=39%",5.785156151952302
LC,AZFc_Del,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,123,1.791726124,9.59E-05,0.00239719,0.002018687,709,"tags=24%, list=8%, signal=23%",2.6202975426532924
LC,AZFc_Del,HALLMARK_MYOGENESIS,Myogenesis,98,1.633271405,0.004488419,0.074806989,0.062995359,478,"tags=20%, list=6%, signal=20%",1.1260578253662779
LC,AZFc_Del,HALLMARK_MTORC1_SIGNALING,Mtorc1 Signaling,168,-1.413015392,0.012408227,0.155102839,0.130612917,1179,"tags=32%, list=14%, signal=28%",0.8093802527940676
LC,AZFc_Del,HALLMARK_UV_RESPONSE_DN,Uv Response Dn,108,1.472523558,0.015618345,0.156183451,0.131522906,2236,"tags=48%, list=26%, signal=36%",0.8063649853123526
LC,AZFc_Del,HALLMARK_ANGIOGENESIS,Angiogenesis,17,1.60564598,0.019984027,0.166533559,0.140238787,709,"tags=47%, list=8%, signal=43%",0.7784982365124303
LC,AZFc_Del,HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,112,-1.385714837,0.028901243,0.20643745,0.173842063,923,"tags=21%, list=11%, signal=19%",0.6852115141524088
LC,AZFc_Del,HALLMARK_ADIPOGENESIS,Adipogenesis,160,-1.343001156,0.033862579,0.211641117,0.178224098,926,"tags=22%, list=11%, signal=20%",0.6743999550134635
LC,AZFc_Del,HALLMARK_COAGULATION,Coagulation,67,1.463860478,0.042471042,0.235950236,0.198694936,1192,"tags=33%, list=14%, signal=29%",0.6271795839347362
LC,AZFc_Del,HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,120,-1.391572863,0.048246545,0.241232724,0.203143346,672,"tags=21%, list=8%, signal=19%",0.6175637790831288
LC,KS,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling Via Nfkb,125,2.357175165,1.00E-10,5.00E-09,2.63E-09,1029,"tags=38%, list=11%, signal=35%",8.301029995663981
LC,KS,HALLMARK_SPERMATOGENESIS,Spermatogenesis,76,-2.664345878,4.72E-10,1.18E-08,6.22E-09,1346,"tags=54%, list=14%, signal=47%",7.928117992693875
LC,KS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,135,1.973297292,4.54E-07,7.57E-06,3.98E-06,689,"tags=29%, list=7%, signal=27%",5.120904120499927
LC,KS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,187,-1.866474902,2.48E-05,0.000310622,0.000163485,1241,"tags=34%, list=13%, signal=30%",3.507767788336234
LC,KS,HALLMARK_MTORC1_SIGNALING,Mtorc1 Signaling,169,-1.874223591,3.91E-05,0.000390547,0.000205551,1304,"tags=37%, list=14%, signal=33%",3.4083266938932657
LC,KS,HALLMARK_HYPOXIA,Hypoxia,139,1.776195434,7.87E-05,0.000568486,0.000299203,1441,"tags=32%, list=15%, signal=27%",3.245280226134757
LC,KS,HALLMARK_P53_PATHWAY,P53 Pathway,132,1.760594096,7.96E-05,0.000568486,0.000299203,1485,"tags=29%, list=16%, signal=25%",3.245280226134757
LC,KS,HALLMARK_APOPTOSIS,Apoptosis,117,1.781332792,0.000182623,0.001141394,0.000600734,1052,"tags=27%, list=11%, signal=25%",2.942564414749861
LC,KS,HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,122,-1.796564218,0.00115456,0.005956926,0.003135224,1268,"tags=35%, list=14%, signal=31%",2.224977794897173
LC,KS,HALLMARK_IL2_STAT5_SIGNALING,Il2 Stat5 Signaling,116,1.624741006,0.001191385,0.005956926,0.003135224,1532,"tags=24%, list=16%, signal=20%",2.224977794897173
LC,OA,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,126,-1.969748116,1.38E-06,6.88E-05,3.62E-05,1035,"tags=37%, list=11%, signal=34%",4.162411561764489
LC,OA,HALLMARK_APICAL_JUNCTION,Apical Junction,106,-1.901955007,2.35E-05,0.000399427,0.000210225,920,"tags=25%, list=9%, signal=22%",3.398562581541721
LC,OA,HALLMARK_COAGULATION,Coagulation,69,-1.973097031,2.40E-05,0.000399427,0.000210225,515,"tags=29%, list=5%, signal=28%",3.398562581541721
LC,OA,HALLMARK_MTORC1_SIGNALING,Mtorc1 Signaling,169,1.786568276,5.56E-05,0.000582789,0.000306731,790,"tags=21%, list=8%, signal=20%",3.2344886540269364
LC,OA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling Via Nfkb,118,1.922097176,5.83E-05,0.000582789,0.000306731,905,"tags=29%, list=9%, signal=26%",3.2344886540269364
LC,OA,HALLMARK_MYOGENESIS,Myogenesis,101,-1.839888957,0.000108396,0.000903304,0.000475423,1013,"tags=34%, list=10%, signal=30%",3.044166066625675
LC,OA,HALLMARK_MYC_TARGETS_V1,Myc Targets V1,171,-1.7070931,0.000128651,0.000918938,0.000483652,2460,"tags=49%, list=25%, signal=37%",3.0367137891211837
LC,OA,HALLMARK_APOPTOSIS,Apoptosis,116,-1.759565473,0.00027439,0.00171494,0.0009026,842,"tags=23%, list=9%, signal=22%",2.765751069863044
LC,OA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,187,1.702500975,0.000321575,0.00178653,0.000940279,1242,"tags=28%, list=13%, signal=25%",2.747989686584371
LC,OA,HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,117,1.768397375,0.000923957,0.004619787,0.002431467,726,"tags=26%, list=7%, signal=24%",2.3353780475731223
LC,iNOA_B,HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,112,-2.472042834,1.00E-10,5.00E-09,3.26E-09,1187,"tags=46%, list=15%, signal=39%",8.301029995663981
LC,iNOA_B,HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,142,1.983973104,4.38E-07,7.30E-06,4.77E-06,1986,"tags=41%, list=24%, signal=31%",5.136677139879544
LC,iNOA_B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,183,-2.02070284,3.71E-07,7.30E-06,4.77E-06,1007,"tags=33%, list=12%, signal=30%",5.136677139879544
LC,iNOA_B,HALLMARK_SPERMATOGENESIS,Spermatogenesis,75,-2.150382926,9.46E-07,1.18E-05,7.72E-06,1604,"tags=40%, list=20%, signal=32%",4.928117992693875
LC,iNOA_B,HALLMARK_MTORC1_SIGNALING,Mtorc1 Signaling,163,-1.948366184,2.53E-06,2.53E-05,1.65E-05,1824,"tags=47%, list=22%, signal=37%",4.5968794788241825
LC,iNOA_B,HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,108,-1.985187631,5.86E-06,4.88E-05,3.19E-05,1215,"tags=39%, list=15%, signal=34%",4.311580177997289
LC,iNOA_B,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,118,1.953300442,7.94E-06,5.67E-05,3.70E-05,809,"tags=31%, list=10%, signal=28%",4.246416941107094
LC,iNOA_B,HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,57,-2.176832179,1.02E-05,6.35E-05,4.14E-05,1175,"tags=42%, list=14%, signal=36%",4.197226274708024
LC,iNOA_B,HALLMARK_PEROXISOME,Peroxisome,67,-2.063835746,1.68E-05,9.32E-05,6.08E-05,1187,"tags=40%, list=15%, signal=35%",4.030584087646019
LC,iNOA_B,HALLMARK_MYOGENESIS,Myogenesis,92,1.91832966,2.76E-05,0.000138157,9.02E-05,550,"tags=26%, list=7%, signal=25%",3.859627105793748
LC,iNOA_S,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,124,2.249727675,1.00E-10,2.50E-09,1.37E-09,848,"tags=42%, list=10%, signal=38%",8.602059991327963
LC,iNOA_S,HALLMARK_SPERMATOGENESIS,Spermatogenesis,76,-2.739052244,1.00E-10,2.50E-09,1.37E-09,1147,"tags=61%, list=13%, signal=53%",8.602059991327963
LC,iNOA_S,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,184,-2.080489421,1.09E-07,1.82E-06,9.98E-07,1511,"tags=36%, list=17%, signal=31%",5.739928612014925
LC,iNOA_S,HALLMARK_UV_RESPONSE_DN,Uv Response Dn,109,1.972404953,8.75E-07,1.09E-05,5.98E-06,1005,"tags=35%, list=11%, signal=31%",4.962573502059376
LC,iNOA_S,HALLMARK_ANGIOGENESIS,Angiogenesis,17,2.11041178,2.05E-06,2.05E-05,1.12E-05,482,"tags=59%, list=5%, signal=56%",4.688246138944246
LC,iNOA_S,HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,64,1.922244702,3.39E-05,0.000282696,0.000154739,1251,"tags=39%, list=14%, signal=34%",3.5486803365059445
LC,iNOA_S,HALLMARK_IL2_STAT5_SIGNALING,Il2 Stat5 Signaling,108,1.702392688,0.000249023,0.001778733,0.000973622,1820,"tags=34%, list=21%, signal=27%",2.749889237598579
